clientIp, serverIp, query_id, initial_time, query_name, query_rtype, nb_repeats, last_repeat_time, nb_response, first_response_time, cname_count, cname, query_length, response_length, a_val, response_time, repeat_time
192.168.1.102,8.8.8.8,54524,27828408,e1650.g.akamaiedge.net,A,2,27984060,2,28058721,0,,82,98,23.198.170.204, 230313, 155652
192.168.1.102,8.8.8.8,7795,395422294,native.sharethrough.com,A,1,395422294,1,395501342,0,,83,211,52.84.21.91, 79048, 0
192.168.1.102,8.8.8.8,46188,633586700,atlas.c10r.facebook.com,A,1,633586700,1,633658669,0,,83,99,31.13.77.2, 71969, 0
192.168.1.102,8.8.8.8,23309,1322065470,foreignpolicymag.files.wordpress.com,A,1,1322065470,1,1322154458,1,s2.files.wordpress.com,96,145,192.0.72.18, 88988, 0
192.168.1.102,8.8.8.8,44477,395313691,zdnet2.cbsistatic.com,A,1,395313691,1,395396297,2,a1949.b.akamai.net,81,183,165.254.58.59, 82606, 0
192.168.1.102,8.8.8.8,35950,1397793997,d1pjxjtk4jr7qj.cloudfront.net,A,1,1397793997,1,1397854165,0,,89,217,52.84.21.48, 60168, 0
192.168.1.102,8.8.8.8,1723,693604319,bit.ly,A,1,693604319,1,693667398,0,,66,98,67.199.248.10, 63079, 0
192.168.1.102,8.8.8.8,40429,1578489650,foxnews.tt.omtrdc.net,AAAA,1,1578489650,1,1578569025,0,,81,143,, 79375, 0
192.168.1.102,8.8.8.8,3562,1403613666,partnerad.l.doubleclick.net,AAAA,1,1403613666,1,1403694195,0,,87,147,, 80529, 0
192.168.1.102,8.8.8.8,50155,811486518,static.hotjar.netdna-cdn.com,A,2,811579200,2,811588874,0,,88,104,108.161.188.192, 102356, 92682
192.168.1.102,8.8.8.8,786,1152298597,www.army.mil,A,1,1152298597,1,1152384149,2,e3532.dscb.akamaiedge.net,72,162,23.41.244.87, 85552, 0
192.168.1.102,8.8.8.8,35318,1153016842,boston.com,AAAA,1,1153016842,1,1153077224,0,,70,134,, 60382, 0
192.168.1.102,8.8.8.8,46235,347012915,f2.shared.global.fastly.net,AAAA,1,347012915,1,347077246,0,,87,148,, 64331, 0
192.168.1.102,8.8.8.8,62512,699267801,e4937.d.akamaiedge.net,A,2,699360707,2,699365995,0,,82,98,23.48.156.119, 98194, 92906
192.168.1.102,8.8.8.8,58325,1020062837,www.nytimes.com,A,1,1020062837,1,1020142025,1,nytimes.map.fastly.net,75,175,151.101.1.164, 79188, 0
192.168.1.102,8.8.8.8,45620,1139246791,prod.f.ssl.global.fastly.net,A,1,1139246791,1,1139306745,0,,88,152,151.101.0.64, 59954, 0
192.168.1.102,8.8.8.8,53006,1463175857,e11572.g.akamaiedge.net,AAAA,1,1463175857,1,1463232964,0,,83,144,, 57107, 0
192.168.1.102,8.8.8.8,57436,5755790,player.ooyala.com,A,1,5755790,1,5884962,4,e1650.g.akamaiedge.net,77,254,23.198.170.204, 129172, 0
192.168.1.102,8.8.8.8,6466,31632922,www.radar-reflector.com,A,1,31632922,1,31707310,0,,83,99,46.105.52.203, 74388, 0
192.168.1.102,8.8.8.8,44339,1454752974,dart.l.doubleclick.net,A,1,1454752974,1,1454831133,0,,82,98,172.217.3.166, 78159, 0
192.168.1.102,8.8.8.8,20424,1578082773,partnerad.l.doubleclick.net,AAAA,1,1578082773,1,1578156063,0,,87,147,, 73290, 0
192.168.1.102,8.8.8.8,17954,124462253,a629.g.akamai.net,AAAA,1,124462253,1,124553637,0,,77,138,, 91384, 0
192.168.1.102,8.8.8.8,17409,344716807,cs84.wac.edgecastcdn.net,AAAA,1,344716807,1,344827483,0,,84,140,, 110676, 0
192.168.1.102,8.8.8.8,22772,346941139,f2.shared.global.fastly.net,A,1,346941139,1,347012254,0,,87,151,151.101.2.2, 71115, 0
192.168.1.102,8.8.8.8,60136,7100307,f2.shared.global.fastly.net,A,1,7100307,1,7169910,0,,87,151,151.101.2.2, 69603, 0
192.168.1.102,8.8.8.8,34096,754353776,e4937.d.akamaiedge.net,A,1,754353776,1,754444776,0,,82,98,23.48.156.119, 91000, 0
192.168.1.102,8.8.8.8,45178,697437046,e4041.g.akamaiedge.net,A,2,697530189,2,697564650,0,,82,98,23.198.161.199, 127604, 93143
192.168.1.102,8.8.8.8,47773,1226092554,www.irinnews.org,A,2,1226171977,2,1226196690,0,,76,108,104.25.51.105, 104136, 79423
192.168.1.102,8.8.8.8,46945,431530212,e9478.x.akamaiedge.net,AAAA,1,431530212,1,431601586,0,,82,143,, 71374, 0
192.168.1.102,8.8.8.8,35670,9365157,s0.2mdn.net,A,1,9365157,1,9439967,1,s0-2mdn-net.l.google.com,71,125,216.58.193.102, 74810, 0
192.168.1.102,8.8.8.8,32717,28482142,f2.shared.global.fastly.net,A,1,28482142,1,28550178,0,,87,151,151.101.2.2, 68036, 0
192.168.1.102,8.8.8.8,42966,120435922,vra.outbrain.com,A,1,120435922,1,120542178,2,e10883.g.akamaiedge.net,76,173,23.198.167.75, 106256, 0
192.168.1.102,8.8.8.8,57395,9438742,dart.l.doubleclick.net,A,1,9438742,1,9537774,0,,82,98,216.58.193.70, 99032, 0
192.168.1.102,8.8.8.8,10959,28550730,f2.shared.global.fastly.net,AAAA,1,28550730,1,28617242,0,,87,148,, 66512, 0
192.168.1.102,8.8.8.8,42548,7115958,cdn.tinypass.com,A,1,7115958,1,7188822,0,,76,108,104.20.30.2, 72864, 0
192.168.1.102,8.8.8.8,29907,1038961533,pix-geo.revsci.net,AAAA,1,1038961533,1,1039020787,0,,78,162,, 59254, 0
192.168.1.102,8.8.8.8,43085,1241497632,f.ssl.fastly.net,AAAA,1,1241497632,1,1241575744,0,,76,137,, 78112, 0
192.168.1.102,8.8.8.8,16104,324270481,ib.adnxs.com,A,1,324270481,1,324343103,2,ib.anycast.adnxs.com,72,249,104.254.150.77, 72622, 0
192.168.1.102,8.8.8.8,43352,1398250969,d3muajkzb1q8u8.cloudfront.net,AAAA,2,1398343502,2,1398358866,0,,89,176,, 107897, 92533
192.168.1.102,8.8.8.8,51592,1413527250,www.nytimes.com,A,1,1413527250,1,1413613711,1,nytimes.map.fastly.net,75,175,151.101.1.164, 86461, 0
192.168.1.102,8.8.8.8,61067,12750437,it.businessinsider.com,A,1,12750437,1,12869696,0,,82,210,52.84.21.64, 119259, 0
192.168.1.102,8.8.8.8,29983,1436503188,search.bbc.net.uk,AAAA,1,1436503188,1,1436574012,0,,77,137,, 70824, 0
192.168.1.102,8.8.8.8,40697,98299672,www.learnvest.com,A,2,98455823,2,98487756,0,,77,109,54.172.243.180, 188084, 156151
192.168.1.102,8.8.8.8,39805,476944216,www.usmagazine.com,A,1,476944216,1,477060322,1,prod.k.ssl.global.fastlylb.net,78,186,151.101.0.69, 116106, 0
192.168.1.102,8.8.8.8,53621,9489478,partnerad.l.doubleclick.net,AAAA,1,9489478,1,9586720,0,,87,147,, 97242, 0
192.168.1.102,8.8.8.8,28145,1398462582,tiles.graphiq.com,AAAA,1,1398462582,1,1398541832,0,,77,135,, 79250, 0
192.168.1.102,8.8.8.8,7258,1443025186,uk.pinterest.com,A,2,1443117486,2,1443119416,3,prod.pinterest.global.map.fastly.net,76,245,151.101.0.84, 94230, 92300
192.168.1.102,8.8.8.8,46719,9420401,partnerad.l.doubleclick.net,A,1,9420401,1,9488979,0,,87,103,216.58.193.98, 68578, 0
192.168.1.102,8.8.8.8,54248,182592532,a1949.g.akamai.net,AAAA,1,182592532,1,182666273,0,,78,139,, 73741, 0
192.168.1.102,8.8.8.8,24354,7170546,f2.shared.global.fastly.net,AAAA,1,7170546,1,7247844,0,,87,148,, 77298, 0
192.168.1.102,8.8.8.8,36350,126951318,disneyprivacycenter.com,A,1,126951318,1,127007655,0,,83,99,199.181.133.212, 56337, 0
192.168.1.102,8.8.8.8,38827,1341040007,d32oduq093hvot.cloudfront.net,A,2,1341132989,2,1341360698,0,,89,217,52.84.50.224, 320691, 92982
192.168.1.102,8.8.8.8,11302,1038982511,f2.shared.global.fastly.net,A,1,1038982511,1,1039040509,0,,87,151,151.101.2.2, 57998, 0
192.168.1.102,8.8.8.8,30160,1022320322,foreignpolicy.com,AAAA,1,1022320322,1,1022399717,0,,77,138,, 79395, 0
192.168.1.102,8.8.8.8,54556,1576080537,f2.shared.global.fastly.net,A,1,1576080537,1,1576150548,0,,87,151,151.101.2.2, 70011, 0
192.168.1.102,8.8.8.8,43024,1250365330,f2.shared.global.fastly.net,AAAA,2,1250457859,2,1250459025,0,,87,148,, 93695, 92529
192.168.1.102,8.8.8.8,42291,750643765,a550.g1.akamai.net,AAAA,1,750643765,1,750732948,0,,78,140,, 89183, 0
192.168.1.102,8.8.8.8,45331,1039041115,f2.shared.global.fastly.net,AAAA,1,1039041115,1,1039100523,0,,87,148,, 59408, 0
192.168.1.102,8.8.8.8,51194,5788483,static.chartbeat.com,A,1,5788483,1,5850889,1,global.ssl.fastly.net,80,179,151.101.0.249, 62406, 0
